step	loss
0	9.0991581420063
1	8.487412971690961
2	7.649958381629842
3	6.8510354992482
4	5.140772895892432
5	4.458084493826127
6	3.3868668137893416
7	2.423874748613659
8	1.070388830341634
9	0.9799387089094437
